Day,Season,Wind,Rain,Class
Weekday,Spring,None,None,On-Time
Weekday,Winter,None,Slight,On-Time
Weekday,Winter,None,Slight,On-Time
Weekday,Winter,High,Heavy,Late
Saturday,Summer,Normal,None,On-Time
Weekday,Autumn,Normal,None,Very-Late
Holiday,Summer,High,Slight,On-Time
Sunday,Summer,Normal,None,On-Time
Weekday,Winter,High,Heavy,Very-Late
Weekday,Summer,None,Slight,On-Time
Saturday,Spring,High,Heavy,Cancelled
Weekday,Summer,High,Slight,On-Time
Saturday,Winter,Normal,None,Late
Weekday,Summer,High,None,On-Time
Weekday,Winter,Normal,Heavy,Very-Late
Saturday,Autumn,High,Slight,On-Time
Weekday,Autumn,None,Heavy,On-Time
Holiday,Spring,Normal,Slight,On-Time
Weekday,Spring,Normal,None,On-Time
Weekday,Spring,Normal,Slight,On-Time
